S.No,Title,Epic,User Story,Priority (MoSCoW),Status,Acceptance Criteria,Functional Requirements,Non-Functional Requirements,Original Estimate (days),Actual Effort (days)
1,User Authentication,Authentication,"As a user, I want to securely register and login so that my workspace and data remain protected.",Must,In Progress,"1. User can register with email and password. 2. Login with valid credentials. 3. JWT token generated after login. 4. Logout functionality works correctly.","Implement Supabase authentication. Secure password hashing. Role-based access control.","Authentication response time < 2s. Secure token storage. Support 1000+ concurrent users.",5,4
2,Workspace Creation,Workspace Management,"As a user, I want to create a workspace so that I can collaborate with my team.",Must,Ready for Dev,"1. User can create workspace. 2. Unique workspace ID generated. 3. Workspace visible in dashboard.","Backend API for workspace CRUD. Store workspace metadata in PostgreSQL.","Workspace creation < 2s. Scalable to 500+ workspaces.",4,3
3,Real-Time Code Editing,Collaboration,"As a developer, I want real-time collaborative editing so that multiple users can code together.",Must,In Progress,"1. Changes sync instantly. 2. No data conflicts. 3. Multiple cursors visible.","Integrate Monaco Editor. Implement Yjs CRDT sync. WebSocket communication.","Latency < 200ms. Support 20+ concurrent users per workspace.",8,6
4,Task Management System,Task Management,"As a team member, I want to create and assign tasks so that work is organized.",Should,Pending,"1. Create/edit/delete tasks. 2. Assign members. 3. Task status tracking.","CRUD APIs for tasks. Link tasks to workspace.","Task operations < 2s. Data consistency maintained.",5,0
5,Integrated Chat,Communication,"As a user, I want in-workspace chat so that I can communicate without external tools.",Should,Backlog,"1. Send/receive messages instantly. 2. Messages stored in DB. 3. Chat history loads on refresh.","WebSocket-based chat service. Store messages in PostgreSQL.","Message delivery < 1s. Handle 100+ messages/min.",6,0
6,AI Code Suggestions,AI Integration,"As a developer, I want AI suggestions so that I can write code faster.",Must,In Testing,"1. User can request suggestion. 2. AI returns context-aware response. 3. Suggestion inserted into editor.","Integrate HuggingFace API. Backend prompt processing.","AI response < 5s. Secure API calls. Rate limit handling.",7,5
7,Shared Terminal Execution,Execution Engine,"As a team member, I want a shared terminal so that we can execute code together.",Should,Backlog,"1. Terminal opens in browser. 2. Commands execute successfully. 3. Output visible to all users.","Integrate WebSocket terminal service. Secure sandbox execution.","Command execution < 3s. Isolated environment per workspace.",7,0
8,Role-Based Access Control,Security,"As a workspace admin, I want to manage user roles so that permissions are controlled.",Must,Ready for Dev,"1. Assign roles (Admin/Member). 2. Restrict actions by role.","Implement RBAC logic in backend. Enforce DB-level RLS.","Unauthorized access prevented. Secure RLS enforcement.",4,3
9,Multi-Tenant Database Isolation,Database,"As a system, I must isolate workspace data to ensure security.",Must,In Progress,"1. Workspace data separated. 2. No cross-workspace data leaks.","Implement PostgreSQL Row-Level Security.","Zero data leakage. Secure tenant isolation.",6,5
10,Deployment & Cloud Hosting,DevOps,"As a product team, we want cloud deployment so that users can access platform online.",Should,Backlog,"1. App deployed on cloud VM. 2. HTTPS enabled. 3. Database hosted securely.","Deploy Node.js server. Configure Nginx and SSL.","99% uptime. Secure HTTPS. Auto-restart on crash.",5,0
